date,1. open,2. high,3. low,4. close,5. volume
2020-08-13,457.72,464.17,455.71,460.04,52520516.0
2020-08-12,441.99,453.1,441.19,452.04,41486205.0
2020-08-11,447.875,449.93,436.4267,437.5,46975594.0
2020-08-10,450.4,455.1,440.0,450.91,53100856.0
2020-08-07,452.82,454.7,441.17,444.45,49511403.0
2020-08-06,441.62,457.65,439.19,455.61,50607225.0
2020-08-05,437.51,441.57,435.59,440.25,30497988.0
2020-08-04,436.53,443.16,433.55,438.66,43198092.0
2020-08-03,432.8,446.5457,431.57,435.75,77037847.0
2020-07-31,411.535,425.66,403.3,425.04,93573867.0
2020-07-30,376.75,385.19,375.07,384.76,39532505.0
2020-07-29,375.0,380.92,374.85,380.16,22582314.0
2020-07-28,377.47,378.1986,372.99,373.01,25906375.0
2020-07-27,374.84,379.62,373.92,379.24,30303548.0
2020-07-24,363.95,371.88,356.58,370.46,46359716.0
2020-07-23,387.9935,388.31,368.039,371.38,49251108.0
2020-07-22,386.77,391.9,386.41,389.09,22250413.0
2020-07-21,396.69,397.0,386.97,388.0,25911500.0
2020-07-20,385.67,394.0,384.25,393.43,22579500.0
2020-07-17,387.95,388.59,383.36,385.31,23046700.0
2020-07-16,386.25,389.62,383.62,386.09,27644400.0
2020-07-15,395.96,396.99,385.96,390.9,38299500.0
2020-07-14,379.36,389.02,375.51,388.23,42747300.0
2020-07-13,389.06,399.82,381.03,381.91,47912300.0
2020-07-10,381.34,383.92,378.82,383.68,22564300.0
2020-07-09,385.05,385.27,378.69,383.01,31410700.0
2020-07-08,376.72,381.5,376.36,381.37,29273000.0
2020-07-07,375.41,378.62,372.23,372.69,28106100.0
2020-07-06,370.0,375.78,369.87,373.85,29663900.0
2020-07-02,367.85,370.47,363.64,364.11,28484300.0
2020-07-01,365.12,367.36,363.91,364.11,27684300.0
2020-06-30,360.08,365.98,360.0,364.8,35055800.0
2020-06-29,353.25,362.1736,351.28,361.78,32661519.0
2020-06-26,364.41,365.32,353.02,353.63,51314200.0
2020-06-25,360.7,365.0,357.57,364.84,34380600.0
2020-06-24,365.0,368.79,358.52,360.06,48155800.0
2020-06-23,364.0,372.38,362.27,366.53,53038900.0
2020-06-22,351.34,359.46,351.15,358.87,33861300.0
2020-06-19,354.64,356.56,345.15,349.72,66119000.0
2020-06-18,351.41,353.45,349.22,351.73,24205100.0
2020-06-17,355.15,355.4,351.09,351.59,28532000.0
2020-06-16,351.46,353.2,344.72,352.08,41357200.0
2020-06-15,333.25,345.68,332.58,342.99,34702200.0
2020-06-12,344.72,347.8,334.22,338.8,50001500.0
2020-06-11,349.31,351.06,335.48,335.9,50415600.0
2020-06-10,347.9,354.77,346.09,352.84,41662900.0
