date,1. open,2. high,3. low,4. close,5. volume
2020-08-10,75.8182,77.665,75.81,77.47,6602745.0
2020-08-07,75.48,75.93,75.21,75.79,6569313.0
2020-08-06,75.2,75.92,74.9412,75.66,6764846.0
2020-08-05,75.35,75.99,75.325,75.78,7823144.0
2020-08-04,75.37,75.485,74.76,75.13,12792449.0
2020-08-03,76.48,76.6,75.44,75.5,7142088.0
2020-07-31,76.24,76.54,75.48,76.53,7424977.0
2020-07-30,76.63,76.98,75.4,76.64,7889831.0
2020-07-29,77.56,78.49,76.9,77.42,15261050.0
2020-07-28,76.3,76.39,74.5604,74.64,12273414.0
2020-07-27,75.886,76.705,75.54,76.46,6771141.0
2020-07-24,75.28,75.995,75.11,75.78,5673370.0
2020-07-23,76.88,77.07,74.9,75.36,7795081.0
2020-07-22,75.52,77.325,75.12,77.24,9213149.0
2020-07-21,75.78,76.8,75.27,75.44,10639800.0
2020-07-20,74.16,75.22,73.63,74.96,8832700.0
2020-07-17,74.43,74.55,73.21,74.16,6087500.0
2020-07-16,74.9,75.14,73.68,74.39,6649300.0
2020-07-15,74.46,75.81,73.96,75.61,10300700.0
2020-07-14,72.0,72.97,71.82,72.73,8780900.0
2020-07-13,74.56,74.84,72.49,72.65,9464500.0
2020-07-10,73.0,74.56,72.74,74.29,7524200.0
2020-07-09,73.73,74.22,71.93,73.57,9618200.0
2020-07-08,74.07,74.5,73.33,74.14,7346200.0
2020-07-07,75.13,75.23,74.0,74.25,7515100.0
2020-07-06,74.93,75.48,74.16,75.44,7235300.0
2020-07-02,75.04,75.09,73.64,73.78,6541000.0
2020-07-01,74.0,74.69,73.38,74.03,6750000.0
2020-06-30,73.58,73.88,72.81,73.59,11324000.0
2020-06-29,71.4091,73.5,71.06,73.48,8653029.0
2020-06-26,73.63,73.77,71.25,71.57,17627800.0
2020-06-25,73.22,74.11,72.17,73.85,8624800.0
2020-06-24,74.9,74.92,72.0,73.64,12306400.0
2020-06-23,76.33,76.37,75.07,75.49,8076600.0
2020-06-22,74.9,75.65,73.92,75.4,8238600.0
2020-06-19,77.03,77.38,74.88,75.4,12538600.0
2020-06-18,76.72,76.79,75.8,76.31,8486000.0
2020-06-17,78.07,78.29,76.68,77.1,6904200.0
2020-06-16,78.79,78.94,76.39,77.84,10890100.0
2020-06-15,74.3,77.91,74.08,76.96,14644700.0
2020-06-12,75.0,76.72,73.81,76.38,18521600.0
2020-06-11,75.75,76.79,72.15,72.57,26422200.0
2020-06-10,79.88,80.03,78.2,79.01,19683800.0
2020-06-09,82.62,83.22,81.76,82.37,7999800.0
2020-06-08,83.08,83.62,82.18,83.56,10229600.0
2020-06-05,80.33,82.33,79.97,82.14,12030800.0
2020-06-04,79.31,80.17,78.47,78.74,7667600.0
2020-06-03,78.45,79.95,78.3,79.58,9956700.0
2020-06-02,77.97,78.26,76.79,77.78,9521000.0
2020-06-01,77.66,78.65,76.77,78.32,7922000.0
2020-05-29,78.62,78.64,77.26,77.99,10109000.0
2020-05-28,78.64,80.06,77.93,78.54,8331400.0
2020-05-27,78.98,78.98,77.39,78.6,8245300.0
2020-05-26,79.6,79.92,77.58,77.76,8422200.0
2020-05-22,77.9,78.05,76.52,77.62,7653300.0
2020-05-21,78.6,79.38,77.89,78.05,10312600.0
2020-05-20,77.23,77.84,76.52,77.76,7790500.0
2020-05-19,76.4,77.22,75.76,75.86,6484900.0
2020-05-18,76.86,77.5,76.2,76.23,8912500.0
2020-05-15,72.81,74.64,72.67,74.16,9489100.0
2020-05-14,72.32,74.29,70.65,74.19,11932300.0
2020-05-13,74.46,75.75,72.92,73.62,11532700.0
2020-05-12,76.0,76.73,74.34,74.35,8549900.0
2020-05-11,76.62,77.18,75.8,75.87,9004500.0
2020-05-08,77.25,77.93,75.76,77.87,11921800.0
2020-05-07,73.81,76.03,73.37,76.0,13360500.0
2020-05-06,73.77,74.85,72.86,72.96,12740900.0
2020-05-05,74.96,75.08,72.89,72.9,12976000.0
2020-05-04,72.58,72.62,71.26,71.89,12921800.0
2020-05-01,74.9,75.88,73.21,73.79,11216700.0
2020-04-30,76.83,77.64,75.19,76.73,15186000.0
2020-04-29,78.18,78.75,76.72,76.86,24575500.0
2020-04-28,78.67,79.61,76.96,78.69,12801400.0
2020-04-27,76.68,78.04,76.54,77.74,8258500.0
2020-04-24,75.75,76.03,74.21,75.58,8460600.0
2020-04-23,77.33,77.67,74.26,75.15,15513400.0
2020-04-22,74.55,78.06,74.43,77.45,11355300.0
2020-04-21,73.4,73.96,71.74,72.72,10345800.0
2020-04-20,76.02,76.98,75.08,75.32,9684700.0
2020-04-17,76.62,77.39,74.97,77.1,14268400.0
2020-04-16,73.11,73.76,71.35,73.51,11946800.0
2020-04-15,72.01,73.18,70.71,72.55,10642500.0
2020-04-14,73.69,74.33,72.66,73.67,10912000.0
2020-04-13,73.52,73.6,70.35,71.76,11191800.0
2020-04-09,71.2,74.26,70.14,73.88,19769600.0
2020-04-08,69.58,71.92,68.54,71.57,10417600.0
2020-04-07,71.57,72.48,68.33,68.71,13799400.0
2020-04-06,66.27,68.34,64.41,67.79,18010800.0
2020-04-03,64.47,64.75,60.9,63.05,14676500.0
2020-04-02,65.75,68.7,62.91,65.0,18175000.0
2020-04-01,63.0,64.76,61.58,62.62,12880400.0
2020-03-31,67.18,68.32,65.31,65.74,20109800.0
2020-03-30,66.56,68.22,64.58,67.86,14199700.0
2020-03-27,66.68,68.25,64.82,66.34,18950500.0
2020-03-26,66.71,71.58,66.25,69.9,20997500.0
2020-03-25,66.83,69.64,63.49,65.81,22977200.0
2020-03-24,62.61,65.16,61.0,64.88,28286200.0
2020-03-23,57.23,57.44,54.0,56.55,24905800.0
2020-03-20,62.3,65.68,57.91,58.03,28420600.0
2020-03-19,56.23,63.36,53.55,61.41,25167400.0
