,Day,Company,Actual,Prediction
0,1,IBM,128.76,98.493225
1,2,IBM,125.42,125.384636
2,3,IBM,123.5,130.91545
3,4,IBM,125,127.874084
4,5,IBM,126.73,127.95553
5,6,IBM,123.82,128.31439
6,7,IBM,123.5,125.705345
7,8,IBM,122.71,124.74141
8,9,IBM,123.71,124.217285
9,10,IBM,124.56,124.93728
10,11,IBM,125.82,125.84299
11,12,IBM,124.86,126.953606
12,13,IBM,126.48,126.30619
13,14,IBM,129.1,127.07005
14,15,IBM,125.9,129.17981
15,16,IBM,131.16,127.08035
16,17,IBM,126.07,130.34547
17,18,IBM,124.39,127.54193
18,19,IBM,122.68,125.05792
19,20,IBM,122.4,123.27579
20,21,IBM,118.62,122.57503
21,22,IBM,119.78,119.55816
22,23,IBM,115.5,119.68964
23,24,IBM,118,116.65474
24,25,IBM,118.06,117.64246
25,26,IBM,119,118.20133
26,27,IBM,121.25,118.92131
27,28,IBM,119.69,120.93262
28,29,IBM,120.27,120.248886
29,30,IBM,119.19,120.31303
30,31,IBM,117.98,119.55518
31,32,IBM,118.26,118.33232
32,33,IBM,116.76,118.2791
33,34,IBM,118.32,117.2246
34,35,IBM,122.01,118.18282
35,36,IBM,122.12,121.564064
36,37,IBM,126.17,122.57534
37,38,IBM,123,125.87711
38,39,IBM,125.83,124.376
39,40,IBM,125,125.74791
40,41,IBM,119.19,125.57594
41,42,IBM,121.25,120.9102
42,43,IBM,126.03,121.178276
43,44,IBM,132.15,125.363884
44,45,IBM,133.52,131.47244
45,46,IBM,132.27,134.24025
46,47,IBM,133.89,133.80995
47,48,IBM,127.78,134.62018
48,49,IBM,127.15,130.01534
49,50,IBM,125.67,127.84147
50,51,IBM,124.64,126.29756
51,52,IBM,123.67,125.1465
52,53,IBM,126.87,124.26391
53,54,IBM,123.94,126.69972
54,55,IBM,121.3,125.163994
55,56,IBM,119.37,122.40182
56,57,IBM,120.99,120.17329
57,58,IBM,120.93,120.75514
58,59,IBM,121.19,120.883606
59,60,IBM,119.88,121.079865
60,61,IBM,115.93,120.22684
61,62,IBM,114.57,116.95088
62,63,IBM,119.95,114.99056
63,64,IBM,123.01,118.87981
64,65,IBM,121.81,122.56532
65,66,IBM,122.67,122.42344
66,67,IBM,122.98,123.00273
67,68,IBM,123.24,123.43832
68,69,IBM,123.39,123.53518
69,70,IBM,120.82,123.601074
70,71,IBM,123.19,121.66714
71,72,IBM,126.52,122.97914
72,73,IBM,128.88,126.185196
73,74,IBM,128.03,128.90846
74,75,IBM,125.56,128.9169
75,76,IBM,122.41,126.87155
76,77,IBM,119.57,123.75339
77,78,IBM,119.87,120.6235
78,79,IBM,114,120.02582
79,80,IBM,119.15,115.54904
80,81,IBM,119.3,118.38349
81,82,IBM,119.01,119.69274
82,83,IBM,119.12,119.4634
83,84,IBM,123.46,119.4893
84,85,IBM,121.63,122.92362
85,86,IBM,120.48,122.336296
86,87,IBM,116.31,120.93066
87,88,IBM,118.8,117.46578
88,89,IBM,110.35,118.40413
89,90,IBM,108.92,112.47092
90,91,IBM,105.37,109.61307
91,92,IBM,106.36,106.613655
92,93,IBM,112,106.57302
93,94,IBM,108.09,111.244804
94,95,IBM,108.58,109.388885
95,96,IBM,106.91,108.846245
96,97,IBM,105.48,107.65009
97,98,IBM,99.99,106.00525
98,99,IBM,94.6,101.3565
99,100,IBM,100.92,96.1751
