,Date,Low,High,Close,Open
5225,2020-08-07,3140.6726,3240.81,3167.46,3224.01
5224,2020-08-06,3165.43,3247.47,3225.0,3194.36
5223,2020-08-05,3127.3,3213.5859,3205.03,3143.77
5222,2020-08-04,3101.21,3167.24,3138.83,3101.21
5221,2020-08-03,3104.0,3184.0,3111.89,3180.51
5220,2020-07-31,3151.0,3246.82,3164.68,3244.0
5219,2020-07-30,3005.0,3092.0,3051.88,3014.0
5218,2020-07-29,2996.77,3039.1592,3033.53,3030.99
5217,2020-07-28,2995.76,3077.0926,3000.33,3054.27
5216,2020-07-27,3015.77,3098.0,3055.21,3062.0
5215,2020-07-24,2888.0,3031.58,3008.91,2930.0
5214,2020-07-23,2970.0,3098.2713,2986.55,3098.2713
5213,2020-07-22,3065.26,3149.9999,3099.91,3125.0
5212,2020-07-21,3105.72,3240.58,3138.29,3232.49
5211,2020-07-20,2994.02,3201.36,3196.84,3000.2
5210,2020-07-17,2948.45,3024.0,2961.97,3009.0
5209,2020-07-16,2918.23,3032.0,2999.9,2971.06
5208,2020-07-15,2973.18,3098.35,3008.87,3080.23
5207,2020-07-14,2950.0,3127.38,3084.0,3089.0
5206,2020-07-13,3068.39,3344.29,3104.0,3251.06
5205,2020-07-10,3135.7,3215.0,3200.0,3191.76
5204,2020-07-09,3074.0,3193.88,3182.63,3115.99
5203,2020-07-08,3012.43,3083.97,3081.11,3022.61
5202,2020-07-07,2990.0,3069.55,3000.12,3058.55
5201,2020-07-06,2930.0,3059.88,3057.04,2934.97
5200,2020-07-02,2871.1,2955.56,2890.3,2912.01
5199,2020-07-01,2754.0,2895.0,2878.7,2757.99
5198,2020-06-30,2675.03,2769.63,2758.82,2685.07
5197,2020-06-29,2630.08,2696.8,2680.38,2690.01
5196,2020-06-26,2688.0,2782.57,2692.87,2775.06
5195,2020-06-25,2712.14,2756.23,2754.58,2739.55
5194,2020-06-24,2721.0,2796.0,2734.4,2780.0
5193,2020-06-23,2718.04,2783.11,2764.41,2726.02
5192,2020-06-22,2669.0,2715.0,2713.82,2684.5
5191,2020-06-19,2659.0,2697.43,2675.01,2678.08
5190,2020-06-18,2636.11,2659.64,2653.98,2647.01
5189,2020-06-17,2631.82,2655.0,2640.98,2647.5
5188,2020-06-16,2576.0,2620.0,2615.27,2620.0
5187,2020-06-15,2508.0,2584.0,2572.68,2526.6
5186,2020-06-12,2503.35,2621.48,2545.02,2601.21
5185,2020-06-11,2536.23,2671.38,2557.96,2603.5
5184,2020-06-10,2626.26,2722.35,2647.45,2645.0
5183,2020-06-09,2525.0,2626.43,2600.86,2529.44
5182,2020-06-08,2487.34,2530.0,2524.06,2500.2
5181,2020-06-05,2437.13,2488.64,2483.0,2444.51
5180,2020-06-04,2450.01,2507.54,2460.6,2477.43
5179,2020-06-03,2461.17,2488.0,2478.4,2468.01
5178,2020-06-02,2445.31,2473.53,2472.41,2467.0
5177,2020-06-01,2444.17,2476.93,2471.04,2448.0
5176,2020-05-29,2398.2,2442.37,2442.37,2415.94
5175,2020-05-28,2378.23,2436.97,2401.1,2384.33
5174,2020-05-27,2330.0,2413.58,2410.39,2404.99
5173,2020-05-26,2414.06,2462.0,2421.86,2458.0
5172,2020-05-22,2430.13,2469.85,2436.88,2455.01
5171,2020-05-21,2442.54,2525.45,2446.74,2500.0
5170,2020-05-20,2467.27,2500.01,2497.94,2477.87
5169,2020-05-19,2428.97,2484.99,2449.33,2429.83
5168,2020-05-18,2384.01,2433.0,2426.26,2402.48
5167,2020-05-15,2356.37,2411.0,2409.78,2368.52
5166,2020-05-14,2353.21,2391.37,2388.85,2361.01
5165,2020-05-13,2337.8,2407.7,2367.92,2366.8
5164,2020-05-12,2355.0,2419.0,2356.95,2411.85
5163,2020-05-11,2372.11,2419.66,2409.0,2374.7
5162,2020-05-08,2357.0,2387.24,2379.61,2372.14
5161,2020-05-07,2343.11,2376.0,2367.61,2374.78
5160,2020-05-06,2320.0,2357.45,2351.26,2329.44
5159,2020-05-05,2307.13,2351.0,2317.8,2340.0
5158,2020-05-04,2256.38,2326.98,2315.99,2256.38
5157,2020-05-01,2258.19,2362.44,2286.04,2336.8
