date,1. open,2. high,3. low,4. close,5. volume
2020-08-14,1513.61,1519.785,1499.0,1504.63,1097059.0
2020-08-13,1508.21,1536.9744,1508.21,1516.65,1119711.0
2020-08-12,1487.1245,1511.67,1485.0,1507.24,1126560.0
2020-08-11,1494.0,1510.44,1478.19,1480.54,1554853.0
2020-08-10,1490.8,1507.15,1477.4901,1496.82,1027329.0
2020-08-07,1509.04,1520.09,1486.27,1498.37,1386294.0
2020-08-06,1476.15,1506.27,1471.9,1504.95,1665261.0
2020-08-05,1476.82,1490.0,1471.215,1479.09,1457518.0
2020-08-04,1486.71,1493.11,1464.03,1473.3,1860609.0
2020-08-03,1491.0,1497.73,1471.72,1482.76,2276085.0
2020-07-31,1497.05,1505.02,1454.0,1487.95,4576382.0
2020-07-30,1497.97,1540.89,1495.17,1538.37,1802121.0
2020-07-29,1505.0,1533.33,1503.01,1523.51,1133773.0
2020-07-28,1525.0,1526.01,1500.52,1503.65,1545534.0
2020-07-27,1513.26,1537.56,1512.33,1529.43,1356185.0
2020-07-24,1499.19,1515.4273,1487.59,1508.21,1495381.0
2020-07-23,1565.93,1570.35,1508.59,1516.75,1695498.0
2020-07-22,1555.71,1566.98,1543.23,1564.85,1224100.0
2020-07-21,1585.03,1587.05,1552.62,1555.92,1328089.0
2020-07-20,1515.0,1569.01,1502.7,1563.84,1490634.0
2020-07-17,1516.91,1523.43,1498.1,1516.85,1713251.0
2020-07-16,1501.5,1515.91,1488.27,1514.92,1324228.0
2020-07-15,1523.23,1536.33,1497.83,1516.88,1551326.0
2020-07-14,1492.79,1522.8,1485.93,1520.86,1905405.0
2020-07-13,1549.94,1576.36,1506.56,1512.23,2147729.0
2020-07-10,1513.25,1541.34,1500.72,1539.01,1796063.0
2020-07-09,1509.93,1529.14,1495.59,1518.66,2092013.0
2020-07-08,1500.8,1511.17,1492.3,1503.6,1588304.0
2020-07-07,1496.13,1521.32,1489.7,1489.92,2118194.0
2020-07-06,1488.15,1510.0,1476.98,1499.65,2235630.0
2020-07-02,1451.84,1488.52,1451.07,1469.93,2861202.0
2020-07-01,1419.17,1448.48,1414.18,1442.0,2109566.0
2020-06-30,1396.88,1424.0,1386.93,1418.05,2014320.0
2020-06-29,1360.34,1398.0,1351.65,1397.17,2253678.0
2020-06-26,1432.63,1437.02,1355.0,1362.54,4882014.0
2020-06-25,1431.22,1442.32,1419.54,1441.1,1197907.0
2020-06-24,1463.28,1475.79,1430.0,1432.7,1579579.0
2020-06-23,1452.0,1475.2,1445.0,1463.98,1887583.0
2020-06-22,1425.01,1450.95,1419.19,1450.66,1472072.0
2020-06-19,1440.0,1444.5,1419.0,1424.64,2639167.0
2020-06-18,1449.85,1452.97,1426.23,1434.12,1743071.0
2020-06-17,1452.94,1462.2,1435.12,1452.54,1530500.0
2020-06-16,1449.0,1457.17,1428.99,1446.47,1534826.0
2020-06-15,1389.49,1425.0,1387.2,1420.74,1527652.0
2020-06-12,1425.86,1434.51,1385.8,1412.92,1833756.0
2020-06-11,1441.03,1451.6,1398.41,1401.9,2357243.0
2020-06-10,1461.51,1472.77,1454.36,1464.7,1588116.0
2020-06-09,1445.24,1467.8,1442.36,1452.08,1681155.0
2020-06-08,1426.28,1449.0,1424.48,1448.04,1693881.0
2020-06-05,1415.64,1446.3,1407.62,1440.02,2132350.0
2020-06-04,1436.78,1441.32,1406.01,1414.3,1349105.0
2020-06-03,1442.7,1449.01,1431.62,1439.25,1386640.0
2020-06-02,1435.0,1443.0,1421.61,1442.31,1172069.0
2020-06-01,1425.7,1441.58,1422.28,1434.87,1259254.0
2020-05-29,1420.43,1436.73,1415.98,1433.52,1852522.0
2020-05-28,1400.0,1444.46,1399.08,1418.24,1759787.0
2020-05-27,1420.0,1425.35,1394.6,1420.28,1584185.0
2020-05-26,1441.96,1445.11,1419.39,1421.37,2229488.0
2020-05-22,1403.9,1417.0,1395.95,1413.24,1427206.0
2020-05-21,1410.99,1416.46,1394.39,1406.75,1537428.0
2020-05-20,1389.16,1412.03,1387.42,1409.16,1913133.0
2020-05-19,1385.48,1392.49,1373.76,1374.4,1579250.0
2020-05-18,1361.58,1392.76,1354.2,1385.18,2356449.0
2020-05-15,1348.26,1374.58,1339.0,1373.06,2077199.0
2020-05-14,1333.52,1357.37,1323.3,1356.86,1833017.0
2020-05-13,1376.16,1385.33,1328.01,1348.33,2018404.0
2020-05-12,1408.22,1414.33,1374.51,1375.18,1695874.0
2020-05-11,1376.79,1415.53,1375.5,1403.59,1635856.0
2020-05-08,1381.82,1396.64,1372.01,1384.34,1666487.0
2020-05-07,1361.31,1376.0,1352.54,1369.28,1535819.0
2020-05-06,1358.0,1368.69,1345.13,1345.43,1586629.0
2020-05-05,1337.5,1371.01,1335.03,1349.02,1983318.0
2020-05-04,1308.13,1324.47,1296.01,1322.9,1540347.0
2020-05-01,1324.09,1351.43,1309.66,1317.32,2443554.0
2020-04-30,1331.36,1350.0,1321.5,1346.7,2792124.0
2020-04-29,1345.0,1360.15,1326.73,1342.18,5417888.0
2020-04-28,1283.2,1284.76,1230.38,1232.59,4035007.0
2020-04-27,1292.0,1294.1,1265.06,1270.86,2209333.0
2020-04-24,1255.0,1277.71,1244.0,1276.6,1872004.0
2020-04-23,1265.74,1288.15,1260.53,1271.17,1710122.0
2020-04-22,1241.11,1279.88,1237.2,1258.41,2315792.0
2020-04-21,1242.71,1250.0,1205.0,1212.16,2482404.0
2020-04-20,1269.89,1276.82,1256.44,1261.15,1764608.0
2020-04-17,1281.7,1290.0,1266.0,1279.0,2552824.0
2020-04-16,1267.14,1273.36,1238.2,1257.43,2894757.0
2020-04-15,1246.51,1275.11,1234.0,1257.3,2111842.0
2020-04-14,1239.97,1275.75,1228.54,1265.23,3167862.0
2020-04-13,1201.5,1214.52,1182.33,1210.41,1935128.0
2020-04-09,1218.18,1221.99,1192.42,1206.57,2701423.0
2020-04-08,1203.1,1214.9,1183.95,1207.0,2016713.0
2020-04-07,1217.01,1220.78,1177.25,1182.56,3080955.0
2020-04-06,1133.0,1190.75,1125.0,1183.19,3165991.0
2020-04-03,1114.71,1118.79,1075.08,1092.7,2568694.0
2020-04-02,1100.0,1122.77,1093.13,1117.03,2820534.0
2020-04-01,1124.0,1129.42,1093.49,1102.1,2598519.0
2020-03-31,1148.73,1173.4,1136.72,1161.95,3263971.0
2020-03-30,1132.64,1151.0,1098.49,1146.31,2936827.0
2020-03-27,1127.47,1151.05,1104.0,1110.26,3139661.0
2020-03-26,1114.72,1171.48,1092.03,1162.92,3834422.0
2020-03-25,1124.58,1146.17,1083.01,1101.62,4516162.0
