date,1. open,2. high,3. low,4. close,5. volume
2020-08-14,135.92,137.0,135.22,136.53,3117840.0
2020-08-13,133.99,134.94,133.61,134.81,2324776.0
2020-08-12,135.11,135.11,132.77,134.6,4863281.0
2020-08-11,133.71,134.59,131.355,131.72,3915884.0
2020-08-10,132.07,134.11,131.25,132.94,3002886.0
2020-08-07,129.24,131.88,129.0,131.75,2303110.0
2020-08-06,129.5,129.93,128.13,129.01,1979947.0
2020-08-05,130.75,131.93,128.66,129.37,3692285.0
2020-08-04,127.93,130.77,127.58,130.45,3924491.0
2020-08-03,126.5,128.24,126.25,127.84,3319277.0
2020-07-31,124.28,125.93,123.79,125.88,3268057.0
2020-07-30,122.33,125.42,121.82,124.58,3606500.0
2020-07-29,123.47,124.48,122.9,123.68,2095804.0
2020-07-28,122.61,124.46,122.12,123.29,2337027.0
2020-07-27,124.25,124.49,122.16,122.69,2423733.0
2020-07-24,122.54,125.53,122.06,123.71,3833026.0
2020-07-23,123.45,123.6,121.94,122.35,3267515.0
2020-07-22,120.3,123.18,120.0,123.14,3876585.0
2020-07-21,120.35,120.99,120.02,120.2,3195233.0
2020-07-20,121.54,121.87,119.04,119.82,3824225.0
2020-07-17,122.64,123.21,121.45,121.67,2715500.0
2020-07-16,121.26,122.99,121.14,121.95,3109900.0
2020-07-15,121.31,122.72,120.01,121.67,3532900.0
2020-07-14,118.74,120.17,117.42,120.08,2577100.0
2020-07-13,119.38,121.76,118.38,118.73,3469700.0
2020-07-10,117.82,118.98,117.06,118.86,2035600.0
2020-07-09,117.46,119.31,117.13,117.9,2860900.0
2020-07-08,118.15,118.5,116.73,117.7,2842100.0
2020-07-07,118.3,119.55,117.81,118.06,3907200.0
2020-07-06,120.01,120.25,117.98,119.24,3764900.0
2020-07-02,119.98,120.59,118.89,119.12,2216100.0
2020-07-01,119.91,120.36,118.83,118.96,2837400.0
2020-06-30,118.88,120.44,118.27,119.93,3633900.0
2020-06-29,117.49,119.28,116.77,118.57,3258900.0
2020-06-26,119.9999,120.65,116.75,117.02,6670184.0
2020-06-25,119.39,119.95,118.29,119.81,2759503.0
2020-06-24,121.17,121.99,118.63,119.72,4180358.0
2020-06-23,123.03,124.43,121.26,121.5,4305180.0
2020-06-22,120.5,123.11,119.1,122.43,4670187.0
2020-06-19,120.2,122.93,119.23,120.56,12611206.0
2020-06-18,118.24,118.26,116.87,117.3,3258675.0
2020-06-17,119.47,119.47,117.78,118.27,3808564.0
2020-06-16,120.44,121.33,117.22,119.21,5137952.0
2020-06-15,115.46,118.69,115.23,118.15,4592413.0
2020-06-12,119.58,119.75,114.81,116.9,4951404.0
2020-06-11,118.57,120.94,117.78,118.01,5004135.0
2020-06-10,120.75,122.18,119.78,120.0,3644851.0
2020-06-09,122.54,122.73,120.29,120.72,2922536.0
2020-06-08,120.81,122.455,120.58,122.37,3577635.0
2020-06-05,121.41,122.51,119.68,121.53,4577047.0
2020-06-04,121.88,122.74,119.55,119.96,3962289.0
