,Date,Low,High,Close,Open
5225,2020-08-07,123.21,125.07,124.96,123.5
5224,2020-08-06,125.0,126.26,126.12,125.0
5223,2020-08-05,124.61,126.75,125.45,126.73
5222,2020-08-04,123.82,125.86,125.84,123.82
5221,2020-08-03,122.15,124.41,124.31,123.5
5220,2020-07-31,121.09,122.99,122.94,122.71
5219,2020-07-30,121.64,123.9046,122.9,123.71
5218,2020-07-29,124.07,125.99,125.32,124.56
5217,2020-07-28,124.15,126.34,124.47,125.82
5216,2020-07-27,124.71,126.32,126.21,124.86
5215,2020-07-24,125.5,127.6459,125.79,126.48
5214,2020-07-23,127.15,129.37,127.33,129.1
5213,2020-07-22,125.8,129.47,128.67,125.9
5212,2020-07-21,125.8,132.17,126.06,131.16
5211,2020-07-20,125.14,127.07,126.37,126.07
5210,2020-07-17,123.2,125.63,125.11,124.39
5209,2020-07-16,122.16,124.48,124.01,122.68
5208,2020-07-15,122.15,123.96,123.0,122.4
5207,2020-07-14,117.92,120.89,120.6,118.62
5206,2020-07-13,118.66,120.99,119.2,119.78
5205,2020-07-10,115.29,118.57,118.35,115.5
5204,2020-07-09,115.2,118.0,115.71,118.0
5203,2020-07-08,116.48,118.64,117.71,118.06
5202,2020-07-07,117.33,119.51,117.58,119.0
5201,2020-07-06,119.46,121.85,120.19,121.25
5200,2020-07-02,119.26,121.42,119.7,119.69
5199,2020-07-01,118.37,121.23,118.54,120.27
5198,2020-06-30,119.0,121.2,120.77,119.19
5197,2020-06-29,117.37,119.78,119.75,117.98
5196,2020-06-26,116.26,118.99,117.19,118.26
5195,2020-06-25,116.1,119.21,119.03,116.76
5194,2020-06-24,115.88,118.32,116.42,118.32
5193,2020-06-23,119.23,122.9,119.41,122.01
5192,2020-06-22,120.53,122.5,121.07,122.12
5191,2020-06-19,122.25,126.82,122.47,126.17
5190,2020-06-18,122.33,124.4,124.16,123.0
5189,2020-06-17,123.4,126.25,124.15,125.83
5188,2020-06-16,123.16,127.5,125.15,125.0
5187,2020-06-15,118.29,122.37,121.65,119.19
5186,2020-06-12,119.28,123.12,121.91,121.25
5185,2020-06-11,117.84,126.1,118.01,126.03
5184,2020-06-10,129.8,132.23,129.87,132.15
