,Date,Low,High,Close,Open
5225,2020-08-07,62.08,63.4,62.8,62.2
5224,2020-08-06,62.11,63.21,62.46,62.55
5223,2020-08-05,62.7,64.835,62.93,64.45
5222,2020-08-04,62.52,65.13,65.12,63.1
5221,2020-08-03,61.34,63.47,62.43,62.9
5220,2020-07-31,60.61,61.79,61.45,61.39
5219,2020-07-30,60.3,61.64,61.57,61.33
5218,2020-07-29,60.34,62.0,62.0,61.12
5217,2020-07-28,60.37,61.32,60.74,60.55
5216,2020-07-27,59.96,61.06,60.98,60.56
5215,2020-07-24,60.36,61.53,60.82,60.93
5214,2020-07-23,60.31,61.66,60.91,60.35
5213,2020-07-22,59.63,60.5,60.35,60.42
5212,2020-07-21,60.44,61.45,60.58,60.65
5211,2020-07-20,59.89,60.55,60.16,60.47
5210,2020-07-17,60.28,61.4,60.82,60.48
5209,2020-07-16,59.75,61.1,60.37,60.0
5208,2020-07-15,59.44,61.34,60.52,59.98
5207,2020-07-14,57.26,59.09,58.81,57.65
5206,2020-07-13,57.77,59.45,58.02,59.13
5205,2020-07-10,55.61,58.6,58.52,55.69
5204,2020-07-09,55.28,57.74,55.58,57.74
5203,2020-07-08,57.45,58.76,57.93,58.72
5202,2020-07-07,57.76,59.64,58.69,59.04
5201,2020-07-06,58.83,59.77,59.45,59.51
5200,2020-07-02,58.26,60.29,58.45,59.32
5199,2020-07-01,58.49,60.55,58.57,59.68
5198,2020-06-30,58.79,60.35,59.71,59.16
5197,2020-06-29,57.98,59.46,59.26,58.78
5196,2020-06-26,57.97,59.88,58.28,59.78
5195,2020-06-25,58.15,60.34,59.87,59.0
5194,2020-06-24,58.4236,60.58,59.44,60.52
5193,2020-06-23,61.1098,62.95,61.16,62.15
5192,2020-06-22,60.89,62.17,61.42,62.03
5191,2020-06-19,62.83,64.83,63.22,64.83
5190,2020-06-18,62.13,64.75,64.02,62.45
5189,2020-06-17,63.2,65.65,63.49,65.35
5188,2020-06-16,62.92,65.38,64.85,64.36
5187,2020-06-15,59.53,62.78,62.76,60.65
5186,2020-06-12,60.22,62.59,62.2,61.5
5185,2020-06-11,59.49,62.88,59.85,62.68
5184,2020-06-10,64.53,67.41,64.54,66.97
5183,2020-06-09,65.41,68.1304,66.77,68.06
5182,2020-06-08,65.21,68.71,68.67,66.23
5181,2020-06-05,64.22,66.77,64.92,66.64
5180,2020-06-04,60.885,64.195,64.07,61.78
5179,2020-06-03,57.75,63.74,60.1,63.01
